Qty (1 board),Qty (10 boards),References,Value,Voltage,Tolerance,Footprint,Manufacturer part number,LCSC,Notes
1,10,C1,100nF,100V,,Capacitor_SMD:C_0805_2012Metric,,C28233,
1,10,C17,4.7nF,50V,,Capacitor_SMD:C_0805_2012Metric,,C1744,Split-termination common-mode stabiliser
2,20,C2 C4,22uF,16V,,Capacitor_SMD:C_1206_3216Metric,,C12891,Bulk at the 5 V socket pin
15,150,C11 C12 C14 C15 C16 C18 C19 C20 C21 C22 C23 C24 C25 C3 C5,100nF,16V,,Capacitor_SMD:C_0805_2012Metric,,C49678,
2,20,C6 C7,1F,2.7V,,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,Eaton HB1030-2R5105-R,,"Hold-up cell 1 of 2 in series -> 0.5 F at 5.4 V. Anything from 0.1 F up works; 0.1 F still gives 500 ms. ESR must be under about 1 ohm -- check it, coin-type EDLCs are 30-200 ohm and will not work here"
1,10,C8,1nF,50V,,Capacitor_SMD:C_0805_2012Metric,,C46653,Keeps switching noise off the reference
3,30,C10 C13 C9,10uF,16V,,Capacitor_SMD:C_1206_3216Metric,,C13585,
4,40,D1 D5 D6 D7,SMAJ26CA,,,Diode_SMD:D_SMA,Diodes Inc SMAJ26CA-13-F,C134976,"Clamps the OBD 12 V node. 400 W is enough here, not the parent's 1500 W SMC: nothing downstream draws more than 25 mA, so there is no load-dump energy to carry into a converter -- only a clamp to hold"
1,10,D2,SS14,,,Diode_SMD:D_SMA,SS14,C2480,"Discharge path, bypassing the charge resistor. Anode on the bank: it conducts only once the rail has sagged a diode drop below the bank, which is exactly when the supply has gone away"
1,10,D3,SMAJ6.0A,,,Diode_SMD:D_SMA,Littelfuse SMAJ6.0A,C223993,"Clamps harness-injected transients on the sensor 5V. 6.0V standoff, not 5.0V: a 5.0V part on a 5.0V rail leaks up to 800uA continuously"
1,10,D4,green,,,LED_SMD:LED_0805_2012Metric,,C2297,"Shield 3V3 is up, which means the dev board is in its socket the right way round and its LDO is running"
7,70,D10 D12 D14 D16 D18 D19 D8,BAT54S,,,Package_TO_SOT_SMD:SOT-23,MDD BAT54S,C408389,"RX clamp. This one is not optional -- it conducts on every recessive bit above 11.5 V of battery, which is most of them"
5,50,D11 D13 D15 D17 D9,SMAJ40CA,,,Diode_SMD:D_SMA,Littelfuse SMAJ40CA,C223989,"Ch1 harness transient clamp (bidirectional, 400W)"
1,10,F1,0.5A slow,,,Fuse:Fuse_1206_3216Metric,Littelfuse 0466.500NR,,Protects the optional K-line pull-up only. The battery-sense divider is 100k and cannot pass enough current to matter
1,10,FB1,600R,,,Inductor_SMD:L_0805_2012Metric,Wurth 742792022,C2661452,
4,40,H1 H2 H3 H4,M3,,,MountingHole:MountingHole_3.2mm_M3,,,
1,10,J1,OBD-II harness,,,Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,JST B6B-PH-K-S(LF)(SN),C157964,"OBD-II pins 16/4/6/14/7/5. Pin 1 is sense only -- the board is powered from the dev board's USB-C, not from here"
1,10,J2,DevKit J1,,,Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical,ESP32-S3-DevKitC-1 J1,,"Mirrors DevKitC-1 J1. Pins 1-2 (3V3) and 21 (5V) are both INPUTS to the shield. Analog on 4-7 and 12, CAN on 9-11, SD bus on 15-20 -- grouped so each block routes away from the row rather than across it. Pin 3 is RST, pins 13/14 are IO3/IO46, all left open."
1,10,J3,DevKit J3,,,Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical,ESP32-S3-DevKitC-1 J3,,"Mirrors DevKitC-1 J3. K-line on 6/7, I2C on 9/17, WS2812 on 16, and the SD card's two DC control lines on 8/18 -- the only nets that cross to the other side of the board, and they go round the end of the row. Pin 10 (IO38) is left open because it drives the dev board's RGB LED on v1.1; check the revision, some put it on IO48, which is the WS2812 output here."
1,10,J4,I2C / Qwiic,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,,,External I2C sensors. Kept because the dev board has no Qwiic connector of its own
1,10,J5,WS2812,,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,Shift-light header: +5V / 5V-logic DIN / GND
1,10,J6,Rail break-out,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,,,
1,10,J7,microSD push-pull,,,Connector_Card:microSD_HC_Hirose_DM3D-SF,Hirose DM3D-SF,C719027,Push-pull socket; DET is the card-present switch
1,10,J8,Sensor harness,,,Connector_JST:JST_PH_B10B-PH-K_1x10_P2.00mm_Vertical,JST B10B-PH-K-S(LF)(SN),C157966,"Two 5V excitation pins, two Kelvin sense-ground pins, two current-carrying grounds, four signals. SENS_RTN must land on the SENSOR's ground stud, not on the same stud as pins 9/10"
1,10,J9,Spare diff in,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,,,"The second ADC's unused pair, brought out raw -- 0-3.3V only, no divider and no clamp in front of them. For a bench sensor, not for the loom"
1,10,JP1,TERM (default OFF),,,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,,"Ships OPEN: unterminated. Bridge the pads only when this board is an END node on its own bus. A vehicle's bus -- OBD-II diagnostics included -- is already terminated at both ends, and a third 120 ohm across the pair takes it to about 40 ohm and can stop it working. Defaulting terminated made that an easy mistake to make"
1,10,JP10,BYPASS3,,,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,,Close for a raw 0-3.3V sensor (shorts the upper leg)
1,10,JP11,RANGE3 (default 0-5V),,,Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,,,"Ships BRIDGED 1-2 = the 0-5V range, which is what almost every automotive sensor is. Cut 1-2 and bridge 2-3 for 0-16V; cut 1-2 and leave both open for no divider (then close BYPASS3 for a raw 0-3.3V sensor). Defaulting to 0-5V also means the firmware's DIVIDER_GAIN matches the board as shipped. NOTE: moving a channel off the default breaks the match with the return attenuator, so that channel loses its ground rejection -- read it single-ended if you do"
1,10,JP12,PULLUP4,,,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,,Close for 2-wire NTC / open-collector sensors
1,10,JP13,BYPASS4,,,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,,Close for a raw 0-3.3V sensor (shorts the upper leg)
1,10,JP14,RANGE4 (default 0-5V),,,Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,,,"Ships BRIDGED 1-2 = the 0-5V range, which is what almost every automotive sensor is. Cut 1-2 and bridge 2-3 for 0-16V; cut 1-2 and leave both open for no divider (then close BYPASS4 for a raw 0-3.3V sensor). Defaulting to 0-5V also means the firmware's DIVIDER_GAIN matches the board as shipped. NOTE: moving a channel off the default breaks the match with the return attenuator, so that channel loses its ground rejection -- read it single-ended if you do"
1,10,JP2,KPU (default OFF),,,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,,Ships OPEN. Bridge only if a module will not answer without a tester pull-up on the K-line
1,10,JP3,PULLUP1,,,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,,Close for 2-wire NTC / open-collector sensors
1,10,JP4,BYPASS1,,,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,,Close for a raw 0-3.3V sensor (shorts the upper leg)
1,10,JP5,RANGE1 (default 0-5V),,,Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,,,"Ships BRIDGED 1-2 = the 0-5V range, which is what almost every automotive sensor is. Cut 1-2 and bridge 2-3 for 0-16V; cut 1-2 and leave both open for no divider (then close BYPASS1 for a raw 0-3.3V sensor). Defaulting to 0-5V also means the firmware's DIVIDER_GAIN matches the board as shipped. NOTE: moving a channel off the default breaks the match with the return attenuator, so that channel loses its ground rejection -- read it single-ended if you do"
1,10,JP6,PULLUP2,,,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,,Close for 2-wire NTC / open-collector sensors
1,10,JP7,BYPASS2,,,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,,Close for a raw 0-3.3V sensor (shorts the upper leg)
1,10,JP8,RANGE2 (default 0-5V),,,Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,,,"Ships BRIDGED 1-2 = the 0-5V range, which is what almost every automotive sensor is. Cut 1-2 and bridge 2-3 for 0-16V; cut 1-2 and leave both open for no divider (then close BYPASS2 for a raw 0-3.3V sensor). Defaulting to 0-5V also means the firmware's DIVIDER_GAIN matches the board as shipped. NOTE: moving a channel off the default breaks the match with the return attenuator, so that channel loses its ground rejection -- read it single-ended if you do"
1,10,JP9,PULLUP3,,,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,,Close for 2-wire NTC / open-collector sensors
1,10,L1,51uH,,,esp32autosport:L_CommonMode_TDK_ACT45B,TDK ACT45B-510-2P-TL003,C76584,AEC-Q200 CAN choke; footprint pads renumbered so symbol winding 1-2 is the package's top (1-4) winding
1,10,PF1,0.2A PTC,,,Resistor_SMD:R_1206_3216Metric,Bourns MF-MSMF020,C719178,"Resettable: a shorted sensor wire trips this, not the dev board's USB port"
1,10,PF2,0.5A hold,,,Resistor_SMD:R_1206_3216Metric,Bourns MF-MSMF050,C17313,Fused tap for the shift-light strip (8x WS2812 ~0.5 A worst case)
1,10,Q1,DMG2301L,,,Package_TO_SOT_SMD:SOT-23,DMG2301L,C7472914,High-side switch so firmware can power-cycle a wedged card
1,10,Q2,2N7002,,,Package_TO_SOT_SMD:SOT-23,2N7002,C8545,Level shift for the P-ch gate. Prefer an AEC-Q101 equivalent: the standard 2N7002 is not automotive qualified
1,10,Q3,2N7002,,,Package_TO_SOT_SMD:SOT-23,onsemi 2N7002,C8545,"K-line low-side driver. 60 V, so it stands off the clamped transient. Drain current in normal use is ~45 mA into the ECU's pull-up"
8,80,R1 R13 R15 R2 R32 R60 R61 R62,100k,,,Resistor_SMD:R_0805_2012Metric,,C149504,"Cell balancing, upper"
7,70,R11 R16 R17 R18 R19 R20 R21,33,,,Resistor_SMD:R_0805_2012Metric,,C17634,Edge-rate limit into the level shifter
1,10,R12,100,,,Resistor_SMD:R_0805_2012Metric,,C17408,"Series termination into the strip. The buffer drove the connector directly, and a WS2812 strip is metres of unterminated lead"
1,10,R27,47k,,,Resistor_SMD:R_0805_2012Metric,,C17713,Card-detect pull-up
2,20,R29 R30,60.4,,,Resistor_SMD:R_0805_2012Metric,,C72998,Split termination upper half
1,10,R3,22,,,Resistor_SMD:R_1206_3216Metric,,,"Inrush limit. 1206 for the pulse rating: 210 mA into 22 ohm is 1 W for the first instant, decaying with a 11 s time constant"
