Designator,Quantity,Value,Package,Manufacturer,MPN,Type,Populate
"C1,C18",2,100nF 100V,0805,Samsung Electro-Mechanics,CL21B104KCFNNNE,SMD,1
C12,1,10uF 16V,1206,Samsung Electro-Mechanics,CL31A106KBHNNNE,SMD,1
"C13,C14,C15,C16,C17",5,100nF 16V,0805,YAGEO,CC0805KRX7R9BB104,SMD,1
C2,1,10uF 100V,1206,TDK,C3216X6S2A106KT0A0E,SMD,1
"C4,C5",2,2.2nF 50V,0805,YAGEO,CC0805KRX7R9BB222,SMD,1
"C10,C8",2,22uF 16V,1206,Samsung Electro-Mechanics,CL31A226KAHNNNE,SMD,1
"C11,C9",2,100nF 50V,0805,YAGEO,CC0805KRX7R9BB104,SMD,1
D1,1,SMAJ36A,DO-214AC(SMA),MDD(Microdiode Semiconductor),SMAJ36A,SMD,1
D2,1,SS34,SMA(DO-214AC),MDD(Microdiode Semiconductor),SS34,SMD,1
D3,1,SS14,SMA(DO-214AC),MDD(Microdiode Semiconductor),SS14,SMD,1
D4,1,XL-2012UGC,0805,Hubei KENTO Elec,KT-0805G,SMD,1
"D5,D6,D7",3,SMAJ5.0A,DO-214AC(SMA),MDD(Microdiode Semiconductor),SMAJ5.0A,SMD,1
"D10,D8",2,1N4148W,SOD-123,ST(Semtech),1N4148W,SMD,1
"D11,D9",2,XL-2012UYC,0805,NATIONSTAR,NCD0805Y1,SMD,1
F1,1,MF-MSMF050-2,1812,BOURNS,MF-MSMF050-2,SMD,1
L1,1,FNR8040S330MT,"SMD,8x8mm",cjiang,FNR8040S330MT,SMD,1
"Q1,Q2",2,AO3400A,SOT-23,AOS,AO3400A,SMD,1
"R1,R17,R19,R3,R6",5,100k,0805,UNI-ROYAL,0805W8F1003T5E,SMD,1
R10,1,10k,0805,UNI-ROYAL,0805W8F1002T5E,SMD,1
"R11,R13,R15",3,220,0805,UNI-ROYAL,0805W8F2200T5E,SMD,1
"R12,R14,R16",3,2.2k,0805,UNI-ROYAL,0805W8F2201T5E,SMD,1
"R2,R4",2,31.6k,0805,FOJAN,FRC0805F3162TS,SMD,1
R5,1,121k,0805,UNI-ROYAL,0805W8F1213T5E,SMD,1
"R18,R20,R7,R9",4,1k,0805,UNI-ROYAL,0805W8F1001T5E,SMD,1
R8,1,4.7k,1206,UNI-ROYAL,1206W4F4701T5E,SMD,1
U1,1,LM5164DDAR,SO-8-EP,TI,LM5164DDAR,SMD,1
