Comment,Designator,Footprint,JLCPCB Part #
100nF 100V,C1,C_0805_2012Metric,C28233
4.7nF 50V,"C17,C24",C_0805_2012Metric,C1744
1uF 16V,C19,C_0805_2012Metric,C28323
22uF 16V,"C2,C4",C_1206_3216Metric,C12891
15pF 50V,"C20,C21",C_0805_2012Metric,C1794
470nF 50V,"C25,C26,C27,C28,C29",C_0805_2012Metric,C13967
100nF 16V,"C11,C12,C14,C15,C16,C18,C22,C23,C30,C31,C32,C5",C_0805_2012Metric,C49678
1nF 50V,C8,C_0805_2012Metric,C46653
10uF 16V,"C10,C13,C9",C_1206_3216Metric,C13585
SMAJ26CA-13-F,"D1,D5,D6,D8,D9",D_SMA,C134976
SMAJ40CA,"D10,D12,D14,D16,D18",D_SMA,C223989
SS14,D2,D_SMA,C2480
SMAJ6.0A,D3,D_SMA,C223993
green,D4,LED_0805_2012Metric,C2297
BAT54S,"D11,D13,D15,D17,D19,D20,D7",SOT-23,C408389
742792022,FB1,L_0805_2012Metric,C216149
DM3D-SF,J8,microSD_HC_Hirose_DM3D-SF,C719027
ACT45B-510-2P-TL003,"L1,L2",L_CommonMode_TDK_ACT45B,C76584
MF-MSMF020/60-2,"PF1,PF2",R_1812_4532Metric,C719178
MF-MSMF050-2,PF3,R_1812_4532Metric,C17313
DMG2301L,Q1,SOT-23,C7472914
2N7002,"Q2,Q3",SOT-23,C8545
100k,"R1,R13,R15,R2,R29,R56,R57,R58",R_0805_2012Metric,C149504
33,"R11,R16,R17,R18",R_0805_2012Metric,C17634
100,R12,R_0805_2012Metric,C17408
47k,R24,R_0805_2012Metric,C17713
60.4,"R26,R27,R35,R36",R_0805_2012Metric,C72998
100,R3,R_1206_3216Metric,C17901
20,R30,R_1206_3216Metric,C17955
22k,R31,R_0805_2012Metric,C17560
750,R33,R_1206_3216Metric,C17985
2.49k,"R38,R42,R46,R50",R_0805_2012Metric,C2930178
10k 0.1%,"R39,R43,R47,R51,R54",R_0805_2012Metric,C856630
43k 1%,R4,R_0805_2012Metric,C17695
2.21k 0.1%,"R40,R44,R48,R52,R55",R_0805_2012Metric,C865368
18k 1%,R5,R_0805_2012Metric,C17506
8.2k,R59,R_0805_2012Metric,C17828
10k,"R19,R20,R21,R22,R23,R25,R28,R32,R34,R6",R_0805_2012Metric,C17414
1M,R7,R_0805_2012Metric,C17514
1k,"R14,R37,R41,R45,R49,R53,R8",R_0805_2012Metric,C17513
4.7k,"R10,R9",R_0805_2012Metric,C17673
TLV431ASN1T1G,U1,SOT-23,C127592
SN74AHCT1G125DBVR,U2,SOT-23-5,C7484
SRV05-4.TCT,"U3,U4",SOT-23-6,C13612
"TJA1051T/3,118","U5,U7",SOIC-8_3.9x4.9mm_P1.27mm,C58988
MCP2518FDT-H/SL,U6,SOIC-14_3.9x8.7mm_P1.27mm,C626759
ADS1115IDGSR,"U8,U9",VSSOP-10_3x3mm_P0.5mm,C37593
TX322540M4FBCE2T,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C5186937
