Designator,X (mm),Y (mm),Layer,Rotation
C1,44.275,50.345,top,0.0
C2,49.525,50.175,top,0.0
C4,55.375,50.175,top,0.0
C5,48.925,45.795,top,0.0
C8,49.385,85.045,top,0.0
C9,49.625,65.725,top,0.0
C10,44.875,54.725,top,0.0
C11,50.125,54.895,top,0.0
C12,80.275,40.045,top,0.0
C13,14.985,24.3,top,0.0
C14,20.235,24.47,top,0.0
C15,20.425,45.045,top,0.0
C16,25.075,45.045,top,0.0
C17,32.825,38.07,top,0.0
C18,76.425,87.045,top,0.0
C19,81.075,87.045,top,0.0
C20,88.175,64.0625,top,0.0
C21,67.775,59.055,top,0.0
C22,76.425,76.3775,top,0.0
C23,81.075,76.3775,top,0.0
C24,72.425,59.055,top,0.0
C25,8.325,68.895,top,0.0
C26,12.675,74.645,top,0.0
C27,21.575,74.645,top,0.0
C28,35.025,68.895,top,0.0
C29,17.135,55.045,top,0.0
C30,3.775,74.545,top,0.0
C31,30.475,74.545,top,0.0
C32,49.385,33.045,top,0.0
D1,53.225,60.275,top,0.0
D2,69.575,19.525,top,0.0
D3,53.225,71.275,top,0.0
D4,53.555,45.825,top,0.0
D5,13.575,37.3,top,0.0
D6,21.825,37.3,top,0.0
D7,73.115,55.325,top,0.0
D8,77.225,68.7,top,0.0
D9,85.475,68.7,top,0.0
D10,5.575,85.275,top,0.0
D11,8.655,73.825,top,0.0
D12,14.475,85.275,top,0.0
D13,12.905,79.575,top,0.0
D14,23.375,85.275,top,0.0
D15,21.805,79.575,top,0.0
D16,32.275,85.275,top,0.0
D17,35.355,73.825,top,0.0
D18,5.575,54.275,top,0.0
D19,12.255,54.325,top,0.0
D20,44.505,32.325,top,0.0
FB1,44.325,66.025,top,0.0
J8,17.05,8.55,top,180.0
L1,31.225,44.075,top,0.0
L2,69.275,68.5,top,0.0
PF1,45.525,60.075,top,0.0
PF2,45.525,71.075,top,0.0
PF3,69.025,39.075,top,0.0
Q1,20.705,29.325,top,0.0
Q2,25.815,29.325,top,0.0
Q3,68.005,55.325,top,0.0
R1,81.815,20.325,top,0.0
R2,86.425,20.325,top,0.0
R3,76.605,20.145,top,0.0
R4,54.015,85.075,top,0.0
R5,58.625,85.075,top,0.0
R6,44.255,79.425,top,0.0
R7,48.865,79.425,top,0.0
R8,58.165,45.825,top,0.0
R9,44.255,41.615,top,0.0
R10,48.865,41.615,top,0.0
R11,84.905,40.075,top,0.0
R12,67.755,34.025,top,0.0
R13,30.675,30.075,top,0.0
R14,35.285,30.075,top,0.0
R15,9.755,24.5,top,0.0
R16,24.865,24.5,top,0.0
R17,29.475,24.5,top,0.0
R18,34.085,24.5,top,0.0
R19,9.755,20.025,top,0.0
R20,14.365,20.025,top,0.0
R21,18.975,20.025,top,0.0
R22,23.585,20.025,top,0.0
R23,28.195,20.025,top,0.0
R24,32.805,20.025,top,0.0
R25,11.755,33.025,top,0.0
R26,16.365,33.025,top,0.0
R27,20.975,33.025,top,0.0
R28,73.565,50.425,top,0.0
R29,78.175,50.425,top,0.0
R30,83.125,55.895,top,0.0
R31,82.785,50.425,top,0.0
R32,87.395,50.425,top,0.0
R33,68.355,50.245,top,0.0
R34,77.055,59.085,top,0.0
R35,81.665,59.085,top,0.0
R36,86.275,59.085,top,0.0
R37,3.755,64.175,top,0.0
R38,8.365,64.175,top,0.0
R39,3.755,60.025,top,0.0
R40,8.365,60.025,top,0.0
R41,17.305,74.675,top,0.0
R42,12.655,70.465,top,0.0
R43,17.265,70.465,top,0.0
R44,12.655,66.315,top,0.0
R45,26.205,74.675,top,0.0
R46,21.555,70.465,top,0.0
R47,26.165,70.465,top,0.0
R48,21.555,66.315,top,0.0
R49,30.455,64.175,top,0.0
R50,35.065,64.175,top,0.0
R51,30.455,60.025,top,0.0
R52,35.065,60.025,top,0.0
R53,21.765,55.075,top,0.0
R54,3.755,49.325,top,0.0
R55,8.365,49.325,top,0.0
R56,27.755,55.075,top,0.0
R57,32.365,55.075,top,0.0
R58,54.015,33.075,top,0.0
R59,58.625,33.075,top,0.0
U1,44.505,84.325,top,0.0
U2,75.275,39.325,top,0.0
U3,10.125,29.325,top,0.0
U4,15.475,29.325,top,0.0
U5,13.775,43.325,top,0.0
U6,69.775,83.445,top,0.0
U7,69.775,74.6575,top,0.0
U8,5.255,79.525,top,0.0
U9,31.955,79.525,top,0.0
Y1,68.175,63.2925,top,0.0
