LCSC,MOQ,Multiple,MPN
C107110,100,100,CC0805JRNPO9BN150
C107146,100,100,CC0805KRX7R9BB222
C10790,5,5,LTV-814
C113952,20,20,SMAJ5.0A
C113967,20,20,SMAJ36A
C127592,5,5,TLV431ASN1T1G
C12891,20,20,CL31A226KAHNNNE
C131334,10,10,B4B-PH-K-S(LF)(SN)
C134976,5,5,SMAJ26CA-13-F
C13585,20,20,CL31A106KBHNNNE
C13612,5,5,SRV05-4.TCT
C13967,20,20,CL21B474KBFNNNE
C149504,100,100,0805W8F1003T5E
C1547,100,100,0402CG120J500NT
C158038,5,5,B10B-PH-K-S(LF)(SN)
C168133,5,5,FNR8040S330MT
C17313,10,10,MF-MSMF050-2
C17408,100,100,0805W8F1000T5E
C17414,100,100,0805W8F1002T5E
C17438,100,100,0805W8F1213T5E
C1744,50,50,0805B472K500NT
C17506,100,100,0805W8F1802T5E
C17513,100,100,0805W8F1001T5E
C17514,100,100,0805W8F1004T5E
C17520,100,100,0805W8F2201T5E
C17557,100,100,0805W8F2200T5E
C17560,100,100,0805W8F2202T5E
C17634,100,100,0805W8F330JT5E
C17673,100,100,0805W8F4701T5E
C17695,100,100,0805W8F4302T5E
C17713,100,100,0805W8F4702T5E
C17828,100,100,0805W8F8201T5E
C17901,100,100,1206W4F1000T5E
C17909,100,100,1206W4F1200T5E
C17936,50,50,1206W4F4701T5E
C17955,50,50,1206W4F200JT5E
C17985,100,100,1206W4F7500T5E
C20917,5,5,AO3400A
C216149,50,50,SBH2012S600RSP
C223989,5,5,SMAJ40CA
C223993,5,5,SMAJ6.0A
C2297,50,50,KT-0805G
C2480,50,50,SS14
C25089,100,100,0402WGF200JTCE
C25100,100,100,0402WGF270JTCE
C28233,50,50,CL21B104KCFNNNE
C28323,10,10,CL21B105KBFNNNE
C2930156,100,100,FRC0805F3162TS
C2930178,100,100,FRC0805F2491TS
C35449,1,1,SRD-05VDC-SL-C
C37593,1,1,ADS1115IDGSR
C387601,1,1,ECS-.327-7-34B-TR
C408389,50,50,BAT54S
C46653,20,20,CL21B102KBCNNNC
C474881,5,5,KF301-5.0-2P
C474882,5,5,KF301-5.0-3P
C477928,1,1,LM5164DDAR
C49678,20,20,CC0805KRX7R9BB104
C5159707,50,50,FRH0805B1002TS
C5186937,10,10,TX322540M4FBCE2T
C58988,1,1,"TJA1051T/3,118"
C626759,1,1,MCP2518FDT-H/SL
C719027,1,1,DM3D-SF
C719178,5,5,MF-MSMF020/60-2
C72998,100,100,0805W8F604JT5E
C7472914,10,10,DMG2301L
C7484,5,5,SN74AHCT1G125DBVR
C76584,2,2,ACT45B-510-2P-TL003
C81034,10,10,MPZ2012S601ATD25
C81598,50,50,1N4148W
C84261,20,20,NCD0805Y1
C8545,50,50,2N7002
C865368,20,20,RT0805BRD072K21L
C8678,20,20,SS34
C908214,20,20,SMF5.0CA
C908224,50,50,B5819W
C965798,100,100,XL-1608SURC-04
C965800,100,100,XL-1608UOC-06
