Designator,Quantity,Value,Package,Manufacturer,MPN,Populate
C1,1,100nF 100V,0805,Samsung Electro-Mechanics,CL21B104KCFNNNE,1
"C17,C24",2,4.7nF 50V,0805,FH,0805B472K500NT,1
C19,1,1uF 16V,0805,Samsung Electro-Mechanics,CL21B105KBFNNNE,1
"C2,C4",2,22uF 16V,1206,Samsung Electro-Mechanics,CL31A226KAHNNNE,1
"C20,C21",2,15pF 50V,0805,YAGEO,CC0805JRNPO9BN150,1
"C25,C26,C27,C28,C29",5,470nF 50V,0805,Samsung Electro-Mechanics,CL21B474KBFNNNE,1
"C11,C12,C14,C15,C16,C18,C22,C23,C30,C31,C32,C5",12,100nF 16V,0805,YAGEO,CC0805KRX7R9BB104,1
C8,1,1nF 50V,0805,Samsung Electro-Mechanics,CL21B102KBCNNNC,1
"C10,C13,C9",3,10uF 16V,1206,Samsung Electro-Mechanics,CL31A106KBHNNNE,1
"D1,D5,D6,D8,D9",5,SMAJ26CA-13-F,SMA,DIODES,SMAJ26CA-13-F,1
"D10,D12,D14,D16,D18",5,SMAJ40CA,DO-214AC(SMA),Littelfuse,SMAJ40CA,1
D2,1,SS14,SMA(DO-214AC),MDD(Microdiode Semiconductor),SS14,1
D3,1,SMAJ6.0A,DO-214AC(SMA),Littelfuse,SMAJ6.0A,1
D4,1,green,0805,Hubei KENTO Elec,KT-0805G,1
"D11,D13,D15,D17,D19,D20,D7",7,BAT54S,SOT-23,MDD(Microdiode Semiconductor),BAT54S,1
FB1,1,742792022,0805,TDK,MPZ2012S601ATD25,1
J8,1,DM3D-SF,SMD,HRS,DM3D-SF,1
"L1,L2",2,ACT45B-510-2P-TL003,"SMD,4.5x3.2mm",TDK,ACT45B-510-2P-TL003,1
"PF1,PF2",2,MF-MSMF020/60-2,1812,BOURNS,MF-MSMF020/60-2,1
PF3,1,MF-MSMF050-2,1812,BOURNS,MF-MSMF050-2,1
Q1,1,DMG2301L,SOT-23,TECH PUBLIC,DMG2301L,1
"Q2,Q3",2,2N7002,SOT-23,JSCJ,2N7002,1
"R1,R13,R15,R2,R29,R56,R57,R58",8,100k,0805,UNI-ROYAL,0805W8F1003T5E,1
"R11,R16,R17,R18",4,33,0805,UNI-ROYAL,0805W8F330JT5E,1
R12,1,100,0805,UNI-ROYAL,0805W8F1000T5E,1
R24,1,47k,0805,UNI-ROYAL,0805W8F4702T5E,1
"R26,R27,R35,R36",4,60.4,0805,UNI-ROYAL,0805W8F604JT5E,1
R3,1,100,1206,UNI-ROYAL,1206W4F1000T5E,1
R30,1,20,1206,UNI-ROYAL,1206W4F200JT5E,1
R31,1,22k,0805,UNI-ROYAL,0805W8F2202T5E,1
R33,1,750,1206,UNI-ROYAL,1206W4F7500T5E,1
"R38,R42,R46,R50",4,2.49k,0805,FOJAN,FRC0805F2491TS,1
"R39,R43,R47,R51,R54",5,10k 0.1%,0805,FOJAN,FRH0805B1002TS,1
R4,1,43k 1%,0805,UNI-ROYAL,0805W8F4302T5E,1
"R40,R44,R48,R52,R55",5,2.21k 0.1%,0805,YAGEO,RT0805BRD072K21L,1
R5,1,18k 1%,0805,UNI-ROYAL,0805W8F1802T5E,1
R59,1,8.2k,0805,UNI-ROYAL,0805W8F8201T5E,1
"R19,R20,R21,R22,R23,R25,R28,R32,R34,R6",10,10k,0805,UNI-ROYAL,0805W8F1002T5E,1
R7,1,1M,0805,UNI-ROYAL,0805W8F1004T5E,1
"R14,R37,R41,R45,R49,R53,R8",7,1k,0805,UNI-ROYAL,0805W8F1001T5E,1
"R10,R9",2,4.7k,0805,UNI-ROYAL,0805W8F4701T5E,1
U1,1,TLV431ASN1T1G,SOT-23,onsemi,TLV431ASN1T1G,1
U2,1,SN74AHCT1G125DBVR,SOT-23-5,TI,SN74AHCT1G125DBVR,1
"U3,U4",2,SRV05-4.TCT,SOT-23-6L,SEMTECH,SRV05-4.TCT,1
"U5,U7",2,"TJA1051T/3,118",SOIC-8,NXP,"TJA1051T/3,118",1
U6,1,MCP2518FDT-H/SL,SOIC-14,MICROCHIP,MCP2518FDT-H/SL,1
"U8,U9",2,ADS1115IDGSR,VSSOP-10,TI,ADS1115IDGSR,1
Y1,1,TX322540M4FBCE2T,SMD3225-4P,Yajingxin,TX322540M4FBCE2T,1
