LCSC,Order qty,Needed,logger,gate,Comment,Footprint
C149504,100,65,40,25,100k,R_0805_2012Metric
C17414,100,55,50,5,10k,R_0805_2012Metric
C17513,100,55,35,20,1k,R_0805_2012Metric
C12891,100,20,10,10,22uF 16V,C_1206_3216Metric
C13585,100,20,15,5,10uF 16V,C_1206_3216Metric
C29055,100,15,5,10,100nF 100V,C_0805_2012Metric
C2480,10,10,5,5,SS14,D_SMA
C17313,10,10,5,5,MF-MSMF050-2,R_1812_4532Metric
C49678,100,35,0,35,100nF 50V,C_0805_2012Metric
C408389,50,35,35,0,BAT54S,SOT-23
C13967,100,25,25,0,470nF 50V,C_0805_2012Metric
C134976,25,25,25,0,SMAJ26CA-13-F,D_SMA
C223989,25,25,25,0,SMAJ40CA,D_SMA
C856630,100,25,25,0,10k 0.1%,R_0805_2012Metric
C865368,100,25,25,0,2.21k 0.1%,R_0805_2012Metric
C17634,100,20,20,0,33,R_0805_2012Metric
C72998,100,20,20,0,60.4,R_0805_2012Metric
C2930178,100,20,20,0,2.49k,R_0805_2012Metric
C908214,15,15,0,15,SMAJ5.0A,D_SMA
C17557,100,15,0,15,220,R_0805_2012Metric
C17520,100,15,0,15,2.2k,R_0805_2012Metric
C1744,100,10,10,0,4.7nF 50V,C_0805_2012Metric
C1794,100,10,10,0,15pF 50V,C_0805_2012Metric
C76584,10,10,10,0,ACT45B-510-2P-TL003,L_CommonMode_TDK_ACT45B
C719178,10,10,10,0,MF-MSMF020/60-2,R_1812_4532Metric
C8545,50,10,10,0,2N7002,SOT-23
C17673,100,10,10,0,4.7k,R_0805_2012Metric
C13612,50,10,10,0,SRV05-4.TCT,SOT-23-6
C58988,10,10,10,0,"TJA1051T/3,118",SOIC-8_3.9x4.9mm_P1.27mm
C37593,10,10,10,0,ADS1115IDGSR,VSSOP-10_3x3mm_P0.5mm
C1547,100,10,0,10,2.2nF 50V,C_0805_2012Metric
C81598,50,10,0,10,1N4148W,D_SOD-123
C965800,100,10,0,10,XL-2012UYC,LED_0805_2012Metric
C20917,50,10,0,10,AO3400A,SOT-23
C25100,100,10,0,10,31.6k,R_0805_2012Metric
C28323,100,5,5,0,1uF 16V,C_0805_2012Metric
C46653,100,5,5,0,1nF 50V,C_0805_2012Metric
C223993,5,5,5,0,SMAJ6.0A,D_SMA
C2297,100,5,5,0,green,LED_0805_2012Metric
C2661452,100,5,5,0,742792022,L_0805_2012Metric
C719027,5,5,5,0,DM3D-SF,microSD_HC_Hirose_DM3D-SF
C7472914,50,5,5,0,DMG2301L,SOT-23
C17408,100,5,5,0,100,R_0805_2012Metric
C17713,100,5,5,0,47k,R_0805_2012Metric
C17901,100,5,5,0,100,R_1206_3216Metric
C17955,100,5,5,0,20,R_1206_3216Metric
C17560,100,5,5,0,22k,R_0805_2012Metric
C17985,100,5,5,0,750,R_1206_3216Metric
C17695,100,5,5,0,43k 1%,R_0805_2012Metric
C17506,100,5,5,0,18k 1%,R_0805_2012Metric
C17828,100,5,5,0,8.2k,R_0805_2012Metric
C17514,100,5,5,0,1M,R_0805_2012Metric
C127592,50,5,5,0,TLV431ASN1T1G,SOT-23
C7484,50,5,5,0,SN74AHCT1G125DBVR,SOT-23-5
C626759,5,5,5,0,MCP2518FDT-H/SL,SOIC-14_3.9x8.7mm_P1.27mm
C5186937,5,5,5,0,TX322540M4FBCE2T,Crystal_SMD_3225-4Pin_3.2x2.5mm
C387601,100,5,0,5,10uF 100V,C_1206_3216Metric
C908224,5,5,0,5,SMAJ36A,D_SMA
C8678,5,5,0,5,SS34,D_SMA
C965798,100,5,0,5,XL-2012UGC,LED_0805_2012Metric
C340244,5,5,0,5,ASWPA8050S330MT,L_Sunlord_SWPA8040S
C25089,100,5,0,5,121k,R_0805_2012Metric
C17909,100,5,0,5,4.7k,R_1206_3216Metric
C477928,5,5,0,5,LM5164DDAR,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm
