LCSC Part Number,Quantity
C49678,100
C17414,100
C149504,100
C408389,50
C13967,100
C134976,26
C223989,26
C864177,100
C856630,100
C865368,100
C17634,100
C72998,100
C2930178,100
C13585,100
C1744,100
C12891,100
C1794,100
C76584,11
C719178,11
C8545,50
C17513,100
C17673,100
C13612,50
C58988,11
C37593,11
C28233,100
C28323,100
C46653,100
C2480,6
C223993,6
C2297,100
C2661452,100
C719027,6
C17313,6
C7472914,50
C17408,100
C17713,100
C17901,100
C17955,100
C17560,100
C17985,100
C17695,100
C17506,100
C17828,100
C17514,100
C127592,50
C7484,50
C626759,6
C5186937,6
