LCSC Part Number,Order Qty,Needed,Spares,Comment,Footprint,Designators
C49678,100,60,20,100nF 16V,C_0805_2012Metric,"C11,C12,C14,C15,C16,C18,C22,C23,C30,C31,C32,C5"
C17414,100,50,20,10k,R_0805_2012Metric,"R19,R20,R21,R22,R23,R25,R28,R32,R34,R6"
C149504,100,40,20,100k,R_0805_2012Metric,"R1,R13,R15,R2,R29,R56,R57,R58"
C408389,50,35,1,BAT54S,SOT-23,"D11,D13,D15,D17,D19,D20,D7"
C13967,100,25,20,470nF 50V,C_0805_2012Metric,"C25,C26,C27,C28,C29"
C134976,26,25,1,SMAJ26CA-13-F,D_SMA,"D1,D5,D6,D8,D9"
C223989,26,25,1,SMAJ40CA,D_SMA,"D10,D12,D14,D16,D18"
C864177,100,25,20,1k 0.1%,R_0805_2012Metric,"R37,R41,R45,R49,R53"
C856630,100,25,20,10k 0.1%,R_0805_2012Metric,"R39,R43,R47,R51,R54"
C865368,100,25,20,2.21k 0.1%,R_0805_2012Metric,"R40,R44,R48,R52,R55"
C17634,100,20,20,33,R_0805_2012Metric,"R11,R16,R17,R18"
C72998,100,20,20,60.4,R_0805_2012Metric,"R26,R27,R35,R36"
C2930178,100,20,20,2.49k,R_0805_2012Metric,"R38,R42,R46,R50"
C13585,100,15,20,10uF 16V,C_1206_3216Metric,"C10,C13,C9"
C1744,100,10,20,4.7nF 50V,C_0805_2012Metric,"C17,C24"
C12891,100,10,20,22uF 16V,C_1206_3216Metric,"C2,C4"
C1794,100,10,20,15pF 50V,C_0805_2012Metric,"C20,C21"
C76584,11,10,1,ACT45B-510-2P-TL003,L_CommonMode_TDK_ACT45B,"L1,L2"
C719178,11,10,1,MF-MSMF020/60-2,R_1812_4532Metric,"PF1,PF2"
C8545,50,10,1,2N7002,SOT-23,"Q2,Q3"
C17513,100,10,20,1k,R_0805_2012Metric,"R14,R8"
C17673,100,10,20,4.7k,R_0805_2012Metric,"R10,R9"
C13612,50,10,1,SRV05-4.TCT,SOT-23-6,"U3,U4"
C58988,11,10,1,"TJA1051T/3,118",SOIC-8_3.9x4.9mm_P1.27mm,"U5,U7"
C37593,11,10,1,ADS1115IDGSR,VSSOP-10_3x3mm_P0.5mm,"U8,U9"
C28233,100,5,20,100nF 100V,C_0805_2012Metric,C1
C28323,100,5,20,1uF 16V,C_0805_2012Metric,C19
C46653,100,5,20,1nF 50V,C_0805_2012Metric,C8
C2480,6,5,1,SS14,D_SMA,D2
C223993,6,5,1,SMAJ6.0A,D_SMA,D3
C2297,100,5,20,green,LED_0805_2012Metric,D4
C2661452,100,5,20,742792022,L_0805_2012Metric,FB1
C719027,6,5,1,DM3D-SF,microSD_HC_Hirose_DM3D-SF,J8
C17313,6,5,1,MF-MSMF050-2,R_1812_4532Metric,PF3
C7472914,50,5,1,DMG2301L,SOT-23,Q1
C17408,100,5,20,100,R_0805_2012Metric,R12
C17713,100,5,20,47k,R_0805_2012Metric,R24
C17901,100,5,20,100,R_1206_3216Metric,R3
C17955,100,5,20,20,R_1206_3216Metric,R30
C17560,100,5,20,22k,R_0805_2012Metric,R31
C17985,100,5,20,750,R_1206_3216Metric,R33
C17695,100,5,20,43k 1%,R_0805_2012Metric,R4
C17506,100,5,20,18k 1%,R_0805_2012Metric,R5
C17828,100,5,20,8.2k,R_0805_2012Metric,R59
C17514,100,5,20,1M,R_0805_2012Metric,R7
C127592,50,5,1,TLV431ASN1T1G,SOT-23,U1
C7484,50,5,1,SN74AHCT1G125DBVR,SOT-23-5,U2
C626759,6,5,1,MCP2518FDT-H/SL,SOIC-14_3.9x8.7mm_P1.27mm,U6
C5186937,6,5,1,TX322540M4FBCE2T,Crystal_SMD_3225-4Pin_3.2x2.5mm,Y1
