LCSC Part Number,Quantity
C107110,100
C10790,10
C127592,15
C12891,40
C131334,30
C134976,55
C13585,40
C13612,25
C13967,60
C149504,100
C158038,15
C17313,20
C17408,100
C17414,200
C1744,50
C17506,100
C17513,100
C17514,100
C17560,100
C17634,100
C17673,100
C17695,100
C17713,100
C17828,100
C17901,100
C17955,50
C17985,100
C223989,55
C223993,15
C2297,50
C2480,50
C28233,50
C28323,20
C2930178,100
C35449,12
C37593,22
C408389,100
C46653,20
C474881,25
C474882,15
C49678,140
C5159707,100
C5186937,20
C58988,22
C626759,12
C719027,12
C719178,25
C72998,100
C7472914,20
C7484,15
C76584,22
C81034,20
C8545,50
C865368,60
