LCSC Part Number,Quantity
C149504,65
C17414,55
C17513,55
C12891,20
C13585,20
C2480,10
C17313,10
C49678,35
C408389,35
C13967,25
C134976,25
C223989,25
C865368,25
C17634,20
C72998,20
C2930178,20
C113952,15
C17557,15
C17520,15
C1744,10
C76584,10
C719178,10
C8545,10
C17673,10
C13612,10
C58988,10
C37593,10
C107146,10
C81598,10
C84261,10
C20917,10
C2930156,10
C28323,5
C46653,5
C223993,5
C2297,5
C81034,5
C719027,5
C7472914,5
C17408,5
C17713,5
C17901,5
C17955,5
C17560,5
C17985,5
C17695,5
C17506,5
C17828,5
C17514,5
C127592,5
C7484,5
C626759,5
C5186937,5
C387601,5
C113967,5
C8678,5
C168133,5
C17438,5
C17936,5
C477928,5
C5159707,25
C29055,15
C1794,10
C10790,5
C131334,10
C158038,5
C35449,10
C474881,20
C474882,10
