LCSC Part Number,Quantity,Description,Note
C49678,160,100nF 16V,
C149504,200,100k,
C17414,200,10k,
C17513,100,1k,
C13585,40,10uF 16V,
C12891,40,22uF 16V,
C28233,50,100nF 100V,
C2480,50,SS14,
C2297,50,green,
C17313,20,MF-MSMF050-2,
C408389,100,BAT54S,
C13967,60,470nF 50V,
C134976,55,SMAJ26CA-13-F,
C223989,55,SMAJ40CA,
C5159707,100,10k 0.1%,
C865368,60,2.21k 0.1%,
C17634,100,33,
C72998,100,60.4,
C2930178,100,2.49k,
C1744,50,4.7nF 50V,
C107110,100,15pF 50V,
C76584,22,ACT45B-510-2P-TL003,
C719178,25,MF-MSMF020/60-2,
C8545,50,2N7002,
C17673,100,4.7k,
C13612,25,SRV05-4.TCT,
C58988,22,"TJA1051T/3,118",
C37593,22,ADS1115IDGSR,
C113952,20,SMAJ5.0A,
C17557,100,220,
C17520,100,2.2k,
C28323,20,1uF 16V,
C46653,20,1nF 50V,
C223993,15,SMAJ6.0A,
C81034,20,742792022,
C719027,12,DM3D-SF,
C7472914,20,DMG2301L,
C17408,100,100,
C17713,100,47k,
C17901,100,100,
C17955,50,20,
C17560,100,22k,
C17985,100,750,
C17695,100,43k 1%,
C17506,100,18k 1%,
C17828,100,8.2k,
C17514,100,1M,
C127592,15,TLV431ASN1T1G,
C7484,15,SN74AHCT1G125DBVR,
C626759,12,MCP2518FDT-H/SL,
C5186937,20,TX322540M4FBCE2T,
C107146,100,2.2nF 50V,
C81598,50,1N4148W,
C84261,20,XL-2012UYC,
C20917,15,AO3400A,
C2930156,100,31.6k,
C35689855,7,10uF 100V,
C113967,20,SMAJ36A,
C8678,20,SS34,
C168133,10,FNR8040S330MT,
C17438,100,121k,
C17936,50,4.7k,
C477928,7,LM5164DDAR,
C10790,10,LTV-814,
C131334,30,B4B-PH-K-S(LF)(SN),
C158038,15,B10B-PH-K-S(LF)(SN),
C35449,12,SRD-05VDC-SL-C,
C474881,25,KF301-5.0-2P,
C474882,15,KF301-5.0-3P,
