Designator,Mid X,Mid Y,Layer,Rotation
C1,44.225000,-49.705000,Top,0.000000
C2,49.475000,-49.875000,Top,0.000000
C4,55.325000,-49.875000,Top,0.000000
C5,48.875000,-54.255000,Top,0.000000
C8,49.335000,-15.005000,Top,0.000000
C9,49.575000,-34.325000,Top,0.000000
C10,44.825000,-45.325000,Top,0.000000
C11,50.075000,-45.155000,Top,0.000000
C12,80.225000,-60.005000,Top,0.000000
C13,14.935000,-75.750000,Top,0.000000
C14,20.185000,-75.580000,Top,0.000000
C15,20.375000,-55.005000,Top,0.000000
C16,25.025000,-55.005000,Top,0.000000
C17,32.775000,-61.980000,Top,0.000000
C18,76.375000,-13.005000,Top,0.000000
C19,81.025000,-13.005000,Top,0.000000
C20,88.125000,-35.987500,Top,0.000000
C21,67.725000,-40.995000,Top,0.000000
C22,76.375000,-23.672500,Top,0.000000
C23,81.025000,-23.672500,Top,0.000000
C24,72.375000,-40.995000,Top,0.000000
C25,8.275000,-31.155000,Top,0.000000
C26,12.625000,-25.405000,Top,0.000000
C27,21.525000,-25.405000,Top,0.000000
C28,34.975000,-31.155000,Top,0.000000
C29,17.085000,-45.005000,Top,0.000000
C30,3.725000,-25.505000,Top,0.000000
C31,30.425000,-25.505000,Top,0.000000
C32,49.335000,-67.005000,Top,0.000000
D1,53.175000,-39.775000,Top,0.000000
D2,69.525000,-80.525000,Top,0.000000
D3,53.175000,-28.775000,Top,0.000000
D4,53.505000,-54.225000,Top,0.000000
D5,13.525000,-62.750000,Top,0.000000
D6,21.775000,-62.750000,Top,0.000000
D7,73.065000,-44.725000,Top,0.000000
D8,77.175000,-31.350000,Top,0.000000
D9,85.425000,-31.350000,Top,0.000000
D10,5.525000,-14.775000,Top,0.000000
D11,8.605000,-26.225000,Top,0.000000
D12,14.425000,-14.775000,Top,0.000000
D13,12.855000,-20.475000,Top,0.000000
D14,23.325000,-14.775000,Top,0.000000
D15,21.755000,-20.475000,Top,0.000000
D16,32.225000,-14.775000,Top,0.000000
D17,35.305000,-26.225000,Top,0.000000
D18,5.525000,-45.775000,Top,0.000000
D19,12.205000,-45.725000,Top,0.000000
D20,44.455000,-67.725000,Top,0.000000
FB1,44.275000,-34.025000,Top,0.000000
J8,17.000000,-91.500000,Top,180.000000
L1,31.175000,-55.975000,Top,0.000000
